subject,first_message,actual_label,predicted_label,match,potential_mislabel
37099783: Re: Jouw bestelling is verzonden!,"Goedenmiddag, 

Ik probeer te volgen waar mijn bestelling is, maar dat is niet mogelijk. Krijg via de link te lezen dat mijn pakket niet bestaat. Wanneer krijg ik mijn betaalde bestelling? 

Eldo Burg",Order Delay,Order Delay,True,False
37098931: Re: Jouw bestelling is verzonden!,"Beste mensen, 
 
Ik heb 2 wkn geleden een jasje voor onze hond besteld. Helaas nog steeds niks ontvangen… de kou is alweer voorbij. 
Post NL heeft vertraging, dat snap ik, maar dit duurt wel heel erg ",Order Delay,Order Delay,True,False
37095051: Pawshield hondenjasje. Order 19181,"
Beste,

Op 27 december 2025 heeft junior van der helden (kleinzoon) een pawshield hondenjasje rosé 3xl voor mij besteld
31 december zou dit verzonden zijn en geleverd worden tussen 6 en 8 januari",Order Delay,Order Delay,True,False
37072946: Re: Jouw bestelling is verzonden!,"Goedemiddag 
Ik zou graag willen weten waneer mijn pakket komt of die nog komt 
Groetjes Marco 

Op wo 31 dec 2025 00:05 schreef Mivero < info@mivero.nl>: (mailto:info@mivero.nl) 
 
  
   
    
   
  ",Order Delay,Order Delay,True,False
37061814: Productvraag,"Productvraag
-------------------------------
Van waaruit worden deze manden verstuurd?",Order Delay,Shipping Question,False,True
37051903: Re: Bestelling #19361 bevestigd,"Hoi! 

Ik heb op 1 januari een bestelling geplaatst. In de track & trace zie ik dat mijn bestelling nog steeds niet is verzonden. 
Wanneer kan ik mijn bestelling verwachten en waarom duurt dit zo lang",Order Delay,Order Delay,True,False
37046228: Re: Bestelling #19335 is onderweg voor bezorging!,"Hallo, ik heb een deken besteld bij jullie en kreeg op 4 januari dat deze onderweg is 
Eigenaardig is de bestelling nog niet toegekomen. Kunnen jullie dit eens bekijken aub? 
Beste groeten, maisie deb",Order Delay,Order Delay,True,False
37034213: Levering pakket Tracknr: UK803499057YP,"Beste, 
Wanneer kan ik mijn pakket verwachten? 
Dat trackingsnummer wordt niet herkend. 
Graag antwoord. 

Grt",Order Delay,Order Delay,True,False
36963778: Nieuw klantbericht op 14 januari 2026 om 22:07,"Nieuw klantbericht op 14 januari 2026 om 22:07   
 

Je hebt een nieuw bericht ontvangen via het contactformulier van je webshop. 
 
 Landcode: NL 
 Name: Chloe van kerschaver 
 E-mail: chloe.van.kers",Order Delay,Order Delay,True,False
Re: 36957263: Re: Bestelling #19480 bevestigd,"Goedeavond hoe moet ik iets ruilen het jasje is veel te klein jullie maten vallen heel klein  hoe nu verder ik wil zeker xxxxl 

Op zo 4 jan 2026, 18:59 schreef Mivero < info@mivero.nl>: (mailto:info@",Return Order,Return Order,True,False
36922397: Re: Jouw bestelling is verzonden!,"Hallo, 

Hoeveel dagen verzending staan er voor mijn order?Ik wacht nu al een week. 

Op wo 7 jan 2026, 13:14 schreef Mivero < info@mivero.nl>: (mailto:info@mivero.nl) 
 
  
   
    
   
  
 Mivero (h",Order Delay,Order Delay,True,False
36885346: Re: Bestelling #19713 bevestigd,"Hallo, 
Ik heb deze bestelling geplaatst en van jullie bericht ontvangen      dat het is verzonden. 
Via de tracking zie ik dat het nog niet is opgehaald door de      carrier, hoe lang gaat de lever",Order Delay,Order Delay,True,False
36858240: Nieuw klantbericht op 14 januari 2026 om 14:07,"Nieuw klantbericht op 14 januari 2026 om 14:07   
 

Je hebt een nieuw bericht ontvangen via het contactformulier van je webshop. 
 
 Landcode: BE 
 Name: Carmen Hodis 
 E-mail: carmenihodis@gmail.com",Product Question,Product Question,True,False
36856528: Re: Bestelling #19783 bevestigd,"Goedemiddag, 
 
Wil graag bij u een hondenjas kopen. We hebben een kruising tussen een Nova Scotia Duck Toller/Ierse Setter (nu 6 mnd). Zijn borstomvang is 68 cm en de ruglengte is 63/80 cm (de groots",Product Question,Product Question,True,False
36844036: Re: Belangrijk nieuws over je bestelling #19751,"Gisteren kreeg ik een mail dat het verzonden was ?! Wat is dit voor een uitleg ? 

Op 14 jan 2026, om 12:16, Info | Mivero < info@mivero.nl> schreef: (mailto:info@mivero.nl)  
Deze e-mail bevat inform",Order Delay,Order Delay,True,False
36841167: Re: Je bestelling #19149 is bezorgd! 🥳,"beste, Ik wil mijn bestelling terugsturen naar jullie en terugbetaling ontvangen. Het jasje is te klein en aangezien jullie levertermijn zo lang duurt, wil ik liever niet meer bestellen. Hoe ga ik hie",Return Order,Return Order,True,False
36836389: Nieuw klantbericht op 14 januari 2026 om 11:58,"Nieuw klantbericht op 14 januari 2026 om 11:58   
 

Je hebt een nieuw bericht ontvangen via het contactformulier van je webshop. 
 
 Landcode: NL 
 Name: Susie van stappen 
 E-mail: susie.van.stappen",Order Delay,Order Delay,True,False
36826191: Nieuw klantbericht op 14 januari 2026 om 10:58,"Nieuw klantbericht op 14 januari 2026 om 10:58   
 

Je hebt een nieuw bericht ontvangen via het contactformulier van je webshop. 
 
 Landcode: NL 
 Name: Martine Bras 
 E-mail: martinebras@gmail.com ",Return Order,Return Order,True,False
36818176: Nieuw klantbericht op 14 januari 2026 om 10:07,"Nieuw klantbericht op 14 januari 2026 om 10:07   
 

Je hebt een nieuw bericht ontvangen via het contactformulier van je webshop. 
 
 Landcode: NL 
 Name: Kirsten Casius 
 E-mail: kcasius@gmail.com 
 ",Order Delay,Order Delay,True,False
36807313: Bestelling,"Hallo, 
Ik zie dat mijn bestelling op 7 januari  is Verzonden. Tot op heden heb ik deze nog niet ontvangen. Kan ook niet zien via de tracker waar mijn pakket is. Kunnen  jullie mij vertellen wanneer i",Order Delay,Order Delay,True,False
Re: 36570577: Re: Jouw bestelling is verzonden!,"Hallo, 
Is er na 16 dagen misschien al zicht op leveren? 
Wacht met ongeduld op uw reactie. 
M.v.g. Dhr. B. Ketting. 

Op zo 28 dec 2025 om 01:24 schreef Mivero < info@mivero.nl> (mailto:info@mivero.n",Order Delay,Order Delay,True,False
36507438: Re: Jouw bestelling is verzonden!,"Hallo, 

Wanneer kan ik mijn bestelling verwachten? 
Het is al 14 dagen geleden. 
Graag hoor ik van u. 

met vriendelijke groeten, 

wim 

Op wo 31 dec 2025 13:53 schreef Mivero < info@mivero.nl>: (ma",Order Delay,Order Delay,True,False
36458073: Re: Een korting als bedankje! 🎁,"Ik heb de eerste bestelling nog niet eens binnen! 
 
Met de vriendelijke groet, 
R. Hagman Verstuurd vanaf mijn iPhone Op 13 jan 2026 om 08:31 heeft Info | Mivero <info@mivero.nl> het volgende geschre",Order Delay,Order Delay,True,False
36448156: Retour kattenfontein 18818,"Beste lezer, 

Ik zou graag kattenfontein (bestelnummer 18818) als retour willen aanmelden. 
Hoe gaat het verder in zijn werk? Het pakket is niet uitgepakt geweest/nog in orginele verpakking. 

Alvast",Return Order,Return Order,True,False
36439121: Retourneren hondenkussen,"Goedemiddag beste, 

Bij deze wil ik de cozycave, warme knusse huisdierenmand retourneren. 
Bestelnummer #19282. 

Met vriendelijke groet, 

Ed van den Hemel",Order Delay,Return Order,False,True
36438754: Re: Een korting als bedankje! 🎁,"Goedemiddag, 
 
leuk dat bedankje maar ik heb nog steeds niets ontvangen. 
 
dus wanneer kan ik het verwachten. 
 
Antoinette van Zwieten  
Op 13-01-2026 08:31 CET schreef Info | Mivero <info@mivero.n",Order Delay,Order Delay,True,False
36416653: Nieuw klantbericht op 13 januari 2026 om 16:08,"Nieuw klantbericht op 13 januari 2026 om 16:08   
 

Je hebt een nieuw bericht ontvangen via het contactformulier van je webshop. 
 
 Landcode: NL 
 Name: Jan Kat 
 E-mail: jan.kat@kpnmail.nl 
 Phone:",Order Delay,Order Delay,True,False
36408241: Re: Bestelling #19323 bevestigd,"Beste, 
Wanneer wordt deze bestelling geleverd 

Verstuurd vanaf mijn iPhone 
Op 31 dec 2025 om 10:07 heeft Mivero <info@mivero.nl> het volgende geschreven: 

﻿ Bedankt voor je aankoop.    
   
    
 ",Order Delay,Order Delay,True,False
36385234: Re: Je bestelling #19166 is bezorgd! 🥳,"Beste, 

Had betere kwaliteit verwacht.   Als ik op voorhand geweten had dat dit uit China kwam, had ik geen bestelling geplaatst. 

mvg, 
Christophe Stas 
Van: ""Info | Mivero"" <info@mivero.nl> 
Aan: ",Bad Product Quality,Bad Product Quality,True,False
36379514: Vraag over product - Mivero (nl-NL),Bij de Duelleash kan ik niet vinden voor welk gewicht honden hij geschikt is. ,Product Question,Product Question,True,False
36374416: Productvraag,"Productvraag
-------------------------------
Is de tuffSnugg speeltje zonder een pieper",Product Question,Product Question,True,False
36369143: Nieuw klantbericht op 13 januari 2026 om 10:57,"Nieuw klantbericht op 13 januari 2026 om 10:57   
 

Je hebt een nieuw bericht ontvangen via het contactformulier van je webshop. 
 
 Landcode: NL 
 Name: Geertje  Peemen 
 E-mail: geertje_s56@live.nl",Order Delay,Order Delay,True,False
36365303: Re: Jouw bestelling is verzonden!,"Goedemorgen 
Enige tijd geleden heb ik een bestelling bij u gedaan. 
Maar nog niks ontvangen. 
Wanneer krijg ik de bestelling? 

Met Vriendelijke groet, 
Carolien Cloos 

Op di 6 jan 2026, 02:49 schre",Return Order,Order Delay,False,True
36365121: Re: Jouw bestelling is verzonden!,"Dag 

Waar is onze bestelling , want ik kan t pakket niet volgen (onbekend) en wij hebben ons pakket nog steeds niet ontvangen 

Hartelijke groet, 
Cyrille & Niek 
Op 30 dec 2025 om 15:31 heeft Mivero",Order Delay,Order Delay,True,False
36364004: ,"Beste,

Wanneer zou mijn levering komen? Duurt nu wel heel lang jammer genoeg…

Mvg




Verstuurd vanaf mijn iPhone",Order Delay,Order Delay,True,False
36363508: Re: Een korting als bedankje! 🎁,"Beste, 
 
Graag zou ik willen weten wanneer ik mijn pakketje zou mogen ontvangen. Deze heb ik op 1 januari besteld en zou ik ook kunnen volgen. Tot mijn verbazing kan ik mijn bestelling niet meer volg",Order Delay,Order Delay,True,False
36362822: Nieuw klantbericht op 13 januari 2026 om 10:07,"Nieuw klantbericht op 13 januari 2026 om 10:07   
 

Je hebt een nieuw bericht ontvangen via het contactformulier van je webshop. 
 
 Landcode: NL 
 Name: Annemarie Bleeker 
 E-mail: menora-gevallen1s",Product Question,Product Question,True,False
36360663: Re: Een korting als bedankje! 🎁,"Goede morgen, 

Ik wil via deze weg even laten weten dat ik mijn pakketje ( 19286 ) van 30-12-2025 nog steeds niet ontvangen hebt. Ik kan ook de track en trace niet volgen, omdat hij die niet kan vind",Order Delay,Order Delay,True,False
36358230: bestelling SP0137846773315875,"De track and Trace email ontvangen op 8 jan 2026 geeft geen beeld totaal leeg scherm.. 
Dus waar is mijn bestelling ??? 
Met vr gr, 
Wim Meijdam",Order Delay,Order Delay,True,False
36356267: Nieuw klantbericht op 13 januari 2026 om 09:05,"Nieuw klantbericht op 13 januari 2026 om 09:05   
 

Je hebt een nieuw bericht ontvangen via het contactformulier van je webshop. 
 
 Landcode: NL 
 Name: Esther bekenkamp 
 E-mail: esther.bekenkamp@h",Return Order,Return Order,True,False
36355742: Re: Een korting als bedankje! 🎁,"Goedemorgen 
Leuk dat extra bedankje 
Maar ik heb nog niks ontvangen, vraag me af waar het pakketje blijft 
Vriendelijke groet 
Catrien Wetzels 
Op 13 jan 2026 om 08:30 heeft Info | Mivero <info@miver",Order Delay,Order Delay,True,False
36355029: Re: Jouw bestelling is verzonden!,"Beste Mivero, 

Ik heb mijn bestelling nog steeds niet ontvangen terwijl er staat dat deze verzonden is. 
Kunt u dit voor mij ophelderen? 

Met vriendelijke groet, 

Mirjam van Sluijs 

Verstuurd vana",Order Delay,Order Delay,True,False
36354765: RE: Jouw bestelling is verzonden!,"Goedendag , 
Wanneer kan ik de bestelling verwachten? 

Verzonden vanaf mijn Galaxy 

 
-------- Oorspronkelijk bericht -------- 
Van: Mivero <info@mivero.nl> 
Datum: 08-01-2026  11:22  (GMT+01:00) 
A",Order Delay,Order Delay,True,False
36354207: RE: Een korting als bedankje! 🎁,"Goedemorgen, 

Ik heb nog steeds mijn bestelling niet binnen. Kunt u mij zeggen hoelang dit normaalgesproken duurt. 

Vriendelijke groet, 
Corrie Kromhout 
Reygersberglaan 33 
2221SR Katwijk 

Verzond",Order Delay,Order Delay,True,False
36353980: Re: Een korting als bedankje! 🎁,"Waar blijft m’n bestelling 

Op di 13 jan 2026 om 08:30 schreef Info | Mivero < info@mivero.nl> (mailto:info@mivero.nl) 
Hallo Anne, 
Ik wil je graag bedanken voor je vertrouwen in ons merk. Geniet va",Order Delay,Order Delay,True,False
36353826: Re: Een korting als bedankje! 🎁,"Hallo. 
Graag gedaan. Maar mijn tuigje xl is nog steeds niet geleverd. 
Ik vindt het vervelend 
Zie graag een oplossing,spoedig. 
Anders zie graag het bedrag terug op mijn rekening. 
Met vriendelijke ",Order Delay,Order Delay,True,False
36348217: Bestelling nog niet ontvangen,"Beste, 

Ik heb mijn bestelling 19522 nog niet mogen ontvangen ontvangen . 

Met vriendelijke groeten 
Monique Van Genechten",Order Delay,Order Delay,True,False
36321184: Order 19263,"Beste 
 
Bij het uitpakken uit de plastic zagen we onmiddellijk dat deze hondengrot te klein was voor onze Cavalier. 
Kunnen we deze nog terugsturen wanneer hij al uit de plastic is gehaald. 
Onze hon",Return Order,Return Order,True,False
36316545: Re: Jouw bestelling is verzonden!,"Wanneer kan ik mijn pakket verwachten? 

De link werkt niet 

MvG 

Op di 6 jan 2026, 03:22 schreef Mivero < info@mivero.nl>: (mailto:info@mivero.nl) 
 
  
   
    
   
  
 Mivero (https://mivero.nl/_",Order Delay,Order Delay,True,False
36315921: Re: Jouw bestelling is verzonden!,"Hello, 

I am writing to ask what happened to my order. 

Thank you in advance, 

Katarzyna 

On Sun, Dec 28, 2025 at 1:29 AM Mivero < info@mivero.nl> wrote: (mailto:info@mivero.nl) 
 
  
   
    
   ",Order Delay,Order Delay,True,False
36309022: Bestelling,"Goededag, 
Ik heb 25-12 een bestelling gedaan met nummer #19109. Ik heb echter nog niks ontvangen. Is er iets mis gegaan? De track en trace blijft op “onderweg” staan. Ik hoor het graag! Vriendelijke",Order Delay,Order Delay,True,False
36303477: ,"even vraagje hoe lang gaat het duren 
bakhuis werkzijde 83 2543cw den haag 
bvd",Order Delay,Order Delay,True,False
36297539: Retour ORD: #19220,"Hallo, 
Ik heb vandaag de bestelling ontvangen en er blijk dat de kussen zijn te klein voor mij hondje. Hoe kan ik ze retourneren? 

Groetjes 
Magda Benschop ",Return Order,Return Order,True,False
36271114: Bestelling volgen,"Bestelling volgen
-------------------------------
Wanner zal mijn bestelling aan komen ",Order Delay,Order Delay,True,False
36269720: Hondenmandjes - Mivero (nl-NL),"Beste,<br>Voldoen niet aan mijn verwachtingen (12-01-2026).<br>",Return Order,Bad Product Quality,False,True
36267684: ,"Beste, 

Ik heb tot op heden nog niets ontvangen. Kunt u me zeggen wanneer mijn bestelling gaat aankomen. 

Mvg 
De Busschop schoofs 
0476 201922",Order Delay,Order Delay,True,False
36265247: Bestelling volgens.,"Waarom kan ik mijn bestelling  niet volgens en ook niet zien,  door wie hij bezocht  wordt. 

Verzonden vanaf mijn Galaxy",Order Delay,Order Delay,True,False
36259875: Productvraag,"Productvraag
-------------------------------
Welke maat nemen voor stafford bull terrier teefje 17 kgr.",Product Question,Product Question,True,False
36254899: Levertijd,"Goedendag, kunt u mij zeggen waar het door komt dat pakket 10 dagen onderweg is voor hij bezorgd wordt.  Waar moet het vandaan komen? 
Hij hond kan door hernia bijna niet lopen en dan is 10 dagen wach",Cancel Order,Order Delay,False,True
36246057: Vraag over product - Mivero (nl-NL),"Goedemiddag, ik wil voor mijn Havanezer hond van ca 7,5 de PawShield - Honden Winterjas Winterjas Voor Hond kopen.<br>Als ik naar de maten kijk zou hij een large nodig hebben, maar dat lijkt mij heel ",Product Question,Product Question,True,False
36243992: Re: Jouw bestelling is verzonden!,"Goedemiddag 
 
De link doet t niet om de bestelling te volgen. 
 
Graag advies 
 
Mvg Danielle 
 
Verzonden vanuit Outlook voor iOS (https://aka.ms/o0ukef) Van: Mivero <info@mivero.nl> Verzonden: Sund",Order Delay,Order Delay,True,False
Re: 36246291: Re: Bedankt voor je bericht – we nemen zo snel mogelijk contact op,"Beste, 

Ik wil dit artikel annuleren,  ik heb van iemand al zo'n jasje gekregen.  Mijn hondje is een puppy en tegen die tijd dat ik deze krijg is het te klein.  Ze groeit hard. 

Dus ik wil het artik",Cancel Order,Cancel Order,True,False
36241800: Probleem rapporteren,"Probleem rapporteren
-------------------------------
Harnas kapot na 2x gebruiken. Mij. Mail werd ook gewoon genegeerd al sinds 3 januari 
",Damaged Item,Bad Product Quality,False,True
36227514: Bestelling Steady paws antislip,"Goedemorgen, 

Afgelopen zaterdag heb ik bovenstaande bestelling  gedaan. 
Kunt u mij zeggen wanneer ik deze kan verwachten?


Groet,
Sylvia Wiebing
",Order Delay,Order Delay,True,False
36240150: Bestelstatus - Mivero (nl-NL),"Goedendag, 
 
Mijn pakket is helaas nog steeds niet geleverd, kunnen jullie achterhalen waar het is? 
 
Vriendelijke groet, 
Annemarie Baarssen 
 
 
 
 
 Verzonden vanaf Outlook voor Android (https://",Order Delay,Order Delay,True,False
36219185: Status bestelling,"Beste 
Ik zou graag weten waar mijn pakje blijft, de beloofde datum is al lang overschreden. 
 Bestel #19228 
 
 
 
Met vriendelijke groeten, 
 
Tania van Hassel 
 
 
Verzonden vanaf Outlook voor Andr",Order Delay,Order Delay,True,False
36178392: Re: Jouw bestelling is verzonden!,"Beste, 
 
Ik heb nog steeds geen pakje ontvangen, kan er bekeken worden wat er misloopt? 
Alvast bedankt, 
Jonas De Vriese 
 
 Van: Mivero <info@mivero.nl> Verzonden: maandag 29 december 2025 15:29 Aa",Order Delay,Order Delay,True,False
36150622: Nieuw klantbericht op 11 januari 2026 om 19:45,"Nieuw klantbericht op 11 januari 2026 om 19:45   
 

Je hebt een nieuw bericht ontvangen via het contactformulier van je webshop. 
 
 Landcode: NL 
 Name: Mirjam luebrand 
 E-mail: liebrandm@gmail.com",Return Order,Return Order,True,False
36135770: Nieuw klantbericht op 11 januari 2026 om 17:34,"Nieuw klantbericht op 11 januari 2026 om 17:34   
 

Je hebt een nieuw bericht ontvangen via het contactformulier van je webshop. 
 
 Landcode: NL 
 Name: Mieke Mertens 
 E-mail: crea_mieke@live.com 
",Order Delay,Order Delay,True,False
36131215: Nieuw klantbericht op 11 januari 2026 om 16:59,"Nieuw klantbericht op 11 januari 2026 om 16:59   
 

Je hebt een nieuw bericht ontvangen via het contactformulier van je webshop. 
 
 Landcode: NL 
 Name: A. De Jonge 
 E-mail: avosdejonge@gmail.com 
",Order Delay,Order Delay,True,False
36117115: deur mat stuk,"Goedendag 
Deze deurmat heb ik nu 2x gewassen op wol stand .en is nu de binnen lag stuk hoe kan dit . 
Was heel blij met de deurmat voor de hond . hoe kan dit gebeuren ? 
Met vriendelijke groet williw",Damaged Item,Bad Product Quality,False,True
36115186: Nieuw klantbericht op 11 januari 2026 om 14:42,"Nieuw klantbericht op 11 januari 2026 om 14:42   
 

Je hebt een nieuw bericht ontvangen via het contactformulier van je webshop. 
 
 Landcode: NL 
 Name: willie van dongen 
 E-mail: keesvandongen@het",Other,Bad Product Quality,False,True
36089852: Re: Jouw bestelling is verzonden!,"Goedemorgen, 

Heb bij jullie een hondentuigje besteld en die is nogsteeds niet aangekomen. 

Is die al klaar voor verzenden of kan ik me geld terugvragen? 

Met vriendelijke groeten, 

Eileen van hel",Order Delay,Order Delay,True,False
36070864: Re: Bestelling #19123 bevestigd,"Goedemorgen, 
 
Deze bestelling is wel al lang onderweg. 
Ga ik dit nog ontvangen? 
 
 
 Verzonden vanaf Outlook voor Android (https://aka.ms/AAb9ysg) From: Mivero <info@mivero.nl> Sent: Friday, Decem",Order Delay,Order Delay,True,False
35988747: Fwd: Bestelling #19188 bevestigd,"Goedemiddag, 

Ik wacht al 2 weken op mn bestelling. Wanneer kan ik deze verwachten? 

Gr, Koen 

Verstuurd vanaf mijn iPhone 
Begin doorgestuurd bericht: 
Van: Mivero <info@mivero.nl> 
Datum: 27 dece",Order Delay,Order Delay,True,False
35988600: Nieuw klantbericht op 10 januari 2026 om 18:51,"Nieuw klantbericht op 10 januari 2026 om 18:51   
 

Je hebt een nieuw bericht ontvangen via het contactformulier van je webshop. 
 
 Landcode: NL 
 Name: Koen 
 E-mail: koen@devrede.nl 
 Phone:  
 Be",Other,Order Delay,False,True
35963269: Re: Dit is groot nieuws: 50% korting op geselecteerde artikelen! 😍,"Geachte Ik heb 27 dec 2025 iets besteld en tot heden nog niets gekregen  mijn vraag komt mijn bestelling nog anders wil ik mijn geld terug 

Verstuurd vanaf mijn iPhone 
Op 4 jan 2026 om 08:31 heeft M",Order Delay,Order Delay,True,False
35954068: Hondjes tasjes,"Hallo , ik wilde Graf braten of ik bij jullie op maandag langs kunnen komen om de tasjes voor de hondjes te proberen ? Zinkstraat 24 in Breda?! 
Bedankt en groetjes 
Elvira",Product Question,Special Request,False,True
35941763: Welke maat moet ik nemen voor een Vizla,"Welke maat moet ik nemen voor een Vizla
-------------------------------
Welke maat moet ik nemen voor een Hongaarse Vizla tegen kou en regen ",Order Delay,Product Question,False,True
35886174: Bestelstatus - Mivero (nl-NL),"Beste, ik bestelde op 2/1/2026 een leiband bij jullie met ordernummer 19381. Ik kreeg een melding dat er zich een incident zou voorgedaan hebben gedurende de levering. Ik heb het pakket nog niet ontva",Order Delay,Lost Order,False,True
35808467: Bestelling#9326,"Mijn bestelling  is niet te volgen en al  lang onderweg. Ik twijfel ernstig aan deze website....graag geld retour. 
Met vriendelijke groeten  Laurien Fledderus",Order Delay,Order Delay,True,False
35807772: Probleem rapporteren,"Probleem rapporteren
-------------------------------
Mijn bestelling is nog niet toe gekomen ",Order Delay,Order Delay,True,False
35767308: Retourzending,"Geachte heer/mevrouw
Ik heb een bestelling gedaan op 27 december 
En vandaag 9 januari is er 1 product geleverd wat niet is wat ik ervan had gedacht en het is ook te klein voor mijn hondje .
Ik wil",Return Order,Return Order,True,False
35750358: ,"Beste, 

Ik wil dit artikel terug sturen het is veel te klein voor mijn katten.. 

Graag ontvang ik een retour label. 

Mvg 
Mirjam Engelen",Return Order,Return Order,True,False
35732845: Nieuw klantbericht op 9 januari 2026 om 15:49,"Nieuw klantbericht op 9 januari 2026 om 15:49   
 

Je hebt een nieuw bericht ontvangen via het contactformulier van je webshop. 
 
 Landcode: NL 
 Name: Sinasi Simsek 
 E-mail: sinasisimsek@icloud.co",Order Delay,Order Delay,True,False
35732266: Re: Bestelling #19453 bevestigd,"Beste bestelling nog steeds niet aan gekregen. IS ER EEN PROBLEEM? 

Op zo 4 jan. 2026 10:03 schreef Mivero < info@mivero.nl>: (mailto:info@mivero.nl) 
 
  
   
    
   
  
 Mivero (https://mivero.nl/",Order Delay,Order Delay,True,False
35717038: Maattabel hondeharnas,"Maattabel hondeharnas
-------------------------------
Niet",Product Question,Product Question,True,False
35715540: Retour bestelling  19124,"Hallo, 
 
Graag  willen we het hondenmandje retour sturen,het is te klein. 
 
Vriendelijke groeten Ingrid Vogels.",Wrong Order,Return Order,False,True
35712361: Maat van honde harnas,"Maat van honde harnas
-------------------------------
Nee hoe bepaal je de maat",Product Question,Product Question,True,False
35702679: Een probleem melden - Mivero (nl-NL),"Geachte heer/mevrouw,<br><br>In november hebben wij bij u een hondentuig aangeschaft. Helaas ervaren wij de laatste weken steeds meer problemen met dit tuig, wat inmiddels tot gevaarlijke situaties he",Return Order,Bad Product Quality,False,True
35694687: Re: Jouw bestelling is verzonden!,"Goedemorgen, 
Waar blijft mijn riem? M.vr.gr. (http://M.vr.gr) 

M.H.A. van Stigt. 

Op wo 7 jan. 2026 03:25 schreef Mivero < info@mivero.nl>: (mailto:info@mivero.nl) 
 
  
   
    
   
  
 Mivero (ht",Order Delay,Order Delay,True,False
35691495: Productvraag,"Productvraag
-------------------------------
Minimum en maximum maat
",Order Delay,Product Question,False,True
35686834: Re: 35400960: Nieuw klantbericht op 7 januari 2026 om 09:35,"Beste Kimberly 

De bestelde cape is niet volgens de verwachtingen. 
Allereerst is de cape niet uit absorberend katoen gemaakt, maar uit een synthetische stof die absoluut geen vocht opneemt. Daarnaas",Return Order,Bad Product Quality,False,True
35650626: Re: Jouw bestelling is verzonden!,"Beste 
Kan u mij informeren over de levering van mijn bestelling ? 
Ik heb dit besteld en betaald op 31/12. 
Dank voor uw antwoord 
Met vriendelijke groet 
Ann Reyniers 
 
Verzonden vanuit Outlook voo",Order Delay,Order Delay,True,False
35614797: Re: Nog één laatste blik voor het nieuwe jaar! ✨,"Weet u wanneer ik mijn bestelling kan verwachten. 
Krijg veel reclame,maar geen info over mijn bestelling. 
Groetjes Richard Maas 

Op wo 31 dec. 2025 08:30 schreef Mivero < info@mivero.nl>: (mailto:i",Order Delay,Order Delay,True,False
35602204: Re: Jouw bestelling is verzonden!,"Hallo,ik kan niet mijn bestelling volgen,vroeg mij af wanneer de levering is.Groetjes anita 

Op zo 4 jan 2026, 02:54 schreef Mivero < info@mivero.nl>: (mailto:info@mivero.nl) 
 
  
   
    
   
  
 M",Order Delay,Order Delay,True,False
35600777: Re: Nog even geduld – je bestelling komt eraan 🚚,"Beste, 

We zijn eind de 8 ste , de laatste dag dat mijn pakket geleverd kon worden, nog steeds niets gehad. Een bestelling van 27 december, hoe kan dat zolang duren, jullie zijn een nederlandse site!",Order Delay,Order Delay,True,False
35600122: Nieuw klantbericht op 8 januari 2026 om 16:44,"Nieuw klantbericht op 8 januari 2026 om 16:44   
 

Je hebt een nieuw bericht ontvangen via het contactformulier van je webshop. 
 
 Landcode: NL 
 Name: nicholas van vlem 
 E-mail: nicholas_vanvlem@y",Order Delay,Order Delay,True,False
"35599992: Re: Bedankt voor je bestelling, Anje!","Beste, 
Ik heb deze bestelling nog niet ontvangen 
zondag, 04 januari 2026, 09:57a.m. +01:00 van Info | Mivero 
-- 
Groetjes Anje info@mivero.nl: (mailto:info@mivero.nl) 
 
We hebben nog een speciale ",Return Order,Order Delay,False,True
35591681: Nieuw klantbericht op 8 januari 2026 om 15:44,"Nieuw klantbericht op 8 januari 2026 om 15:44   
 

Je hebt een nieuw bericht ontvangen via het contactformulier van je webshop. 
 
 Landcode: NL 
 Name: Peter Wilms 
 E-mail: peterwilms@skynet.be 
 P",Product Question,Product Question,True,False
35590927: Defect hoofdharnas maat L,"Goedemiddag medewerker van Mivero. 
Afgelopen 26 December heb ik een 2 tal hoofdharnassen besteld.Met jullie referentie sp ************4681 zijn deze op 3 Januari geleverd. 
Nu is er 1 stuks defect de",Shipping Question,Damaged Item,False,True
35586258: RE: Verzendingsupdates voor bestelling #19457,"Je verzendingsstatus is bijgewerkt Beste, Ik heb al geruime tijd geen info ontvangen over deze bestelling en de stand van zaken ivm de verzending. Kunt u nakijken aub? Alvast dank en groet. Ines Van G",Order Delay,Order Delay,True,False
35579492: Re: Jouw bestelling is verzonden!,"Ik heb nog niks 

Verstuurd vanaf mijn iPhone 
Op 3 jan 2026 om 03:50 heeft Mivero <info@mivero.nl> het volgende geschreven: 

﻿ Het laatste artikel van je bestelling is onderweg    
   
    
   
  
 ",Order Delay,Order Delay,True,False
35573482: retourzending,"Geachte heer/mevrouw, 

Ik heb recent bij u 2 (speelgoed)beertjes besteld voor onze hond. Ik verwijs naar bijgevoegde print en bestelnummer 18849. 

Onze bestelling is zojuist (vandaag 8/1/2026) bij o",Damaged Item,Return Order,False,True
35571368: Retour - Mivero (nl-NL),Ik wil mijn product retourneren met het bestelnummer #19096. <br>Graag zo snel mogelijk reactie.,Return Order,Return Order,True,False
